Código_UF,Estado,UF,Código_IBGE,Município,Região,Latitude,Longitude
11,Rondônia,RO,1100015,Alta Floresta D'Oeste,Norte,-11.929692,-61.996128
11,Rondônia,RO,1100023,Ariquemes,Norte,-9.907652,-63.033069
11,Rondônia,RO,1100031,Cabixi,Norte,-13.495606,-60.542444
11,Rondônia,RO,1100049,Cacoal,Norte,-11.4333,-61.44205
11,Rondônia,RO,1100056,Cerejeiras,Norte,-13.186987,-60.816836
11,Rondônia,RO,1100064,Colorado do Oeste,Norte,-13.117431,-60.545428
11,Rondônia,RO,1100072,Corumbiara,Norte,-12.997767,-60.945501
11,Rondônia,RO,1100080,Costa Marques,Norte,-12.436716,-64.227977
11,Rondônia,RO,1100098,Espigão D'Oeste,Norte,-11.532175,-61.013094
11,Rondônia,RO,1100106,Guajará-Mirim,Norte,-10.780424,-65.332783
11,Rondônia,RO,1100114,Jaru,Norte,-10.431826,-62.478769
11,Rondônia,RO,1100122,Ji-Paraná,Norte,-10.877815,-61.927785
11,Rondônia,RO,1100130,Machadinho D'Oeste,Norte,-9.424085,-61.992372
11,Rondônia,RO,1100148,Nova Brasilândia D'Oeste,Norte,-11.722692,-62.315545
11,Rondônia,RO,1100155,Ouro Preto do Oeste,Norte,-10.716685,-62.26024
11,Rondônia,RO,1100189,Pimenta Bueno,Norte,-11.680781,-61.183441
11,Rondônia,RO,1100205,Porto Velho,Norte,-8.749452,-63.873544
11,Rondônia,RO,1100254,Presidente Médici,Norte,-11.168664,-61.905763
11,Rondônia,RO,1100262,Rio Crespo,Norte,-9.705278,-62.900447
11,Rondônia,RO,1100288,Rolim de Moura,Norte,-11.727071,-61.771411
11,Rondônia,RO,1100296,Santa Luzia D'Oeste,Norte,-11.907252,-61.7793085
11,Rondônia,RO,1100304,Vilhena,Norte,-12.736854,-60.146556
11,Rondônia,RO,1100320,São Miguel do Guaporé,Norte,-11.695147,-62.719574
11,Rondônia,RO,1100338,Nova Mamoré,Norte,-10.410486,-65.331376
11,Rondônia,RO,1100346,Alvorada D'Oeste,Norte,-11.346271,-62.284697
